book_title,book_author,book_translator,book_pub_date,book_isbn
처음 시작하는 파이썬: 파이썬 패키지를 활용한 모던 컴퓨팅 입문,빌 루바노빅 ,최길우 ,2015-12-04,9788968482397
Head First Python : 머리에 쏙쏙 들어오는 파이썬 안내서(수정판),폴 베리 ,강권학 ,2016-03-28,9788968482724
"IT CookBook, 컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론","이동명 , 권오현 , 고정국 ",,2015-12-28,9791156642428
"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스 ",송경희 ,2009-09-04,9788979146844
반응형 웹 개발을 위한 부트스트랩,제이크 스퍼록 ,송지연 ,2014-05-07,9788968486555
"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정 ,,2014-08-11,9791156641322
Thinking about C/C++ : 프로그래머가 몰랐던 프로그램의 동작 원리(프로그램 실행 환경편),박수현 ,,2014-05-15,9788968487118
드림팀의 악몽: 산으로 가는 팀 프로젝트를 바로잡는 애자일 코칭법,포샤 텅 ,김광호 ,2014-05-16,9788968480973
멀티스레드를 위한 자바스크립트 프로그래밍 웹 워커,아이두 그린 ,김보경 ,2012-11-23,9788979149784
"IT EXPERT, 64비트 멀티코어 OS 원리와 구조 1권: OS 개발 60일 프로젝트",한승훈 ,,2011-07-23,9788979148367
프로젝트 성공을 위한 갑과 을의 상생협력 : 21명의 현직 전문가가 전하는 생생한 성공 노하우,이재용 ,,2012-07-16,9788979149449
유지보수하기 어렵게 코딩하는 방법: 평생 개발자로 먹고 살 수 있다,로에디 그린 ,우정은 ,2012-07-16,9788979149418
"BACK TO THE BASIC, C++ 버그 헌팅: 버그를 예방하는 11가지 코딩 습관",블라디미르 쿠스퀴니르 ,정원천 ,2013-05-31,9788968486357
대용량 서버 구축을 위한 Memcached와 Redis,강대명 ,,2012-07-16,9788979149425
Head First HTML5 Programming: 웹 표준으로 만드는 생동감 있는 웹 애플리케이션,"에릭 프리먼 , 엘리자베스 롭슨 ",홍형경 ,2012-07-28,9788979149326
스마트폰과 태블릿 호환을 위한 안드로이드 앱 프로그래밍,고강태 ,,2012-07-16,9788979149432
성당과 시장 : 우연한 혁명으로 일어난 리눅스와 오픈소스에 대한 생각,에릭 레이먼드 ,"정직한 , 송창훈 , 윤종민 ",2013-12-30,9788968486562
"IT CookBook, 정보 보안 개론과 실습 : 시스템 해킹과 보안(개정판)",양대일 ,,2013-09-15,9788998756628
"IT CookBook, 컴퓨터 사이언스","이동명 , 권오현 , 고정국 ",,2014-02-19,9788998756970
Code Simplicity : 소프트웨어 생명 연장을 위한 원칙,맥스 카넷-알렉산더 ,신정안 ,2012-12-03,9788979149913
"IT CookBook, 네트워크 개론(개정판) : 쉽게 배우는 네트워크의 기본 원리",진혜진 ,,2014-01-07,9788998756734
"IT CookBook, 윈도우 API 프로그래밍",강경우 ,,2014-01-05,9788998756932
"IT CookBook, ASP.NET 4.0 프로그래밍",김동아 ,,2014-02-19,9791156641025
게임 매니악스 탄막 게임 알고리즘,"마츠우라 켄이치로 , 츠카사 유키 ",윤석조 ,2014-02-22,9788968480812
"IT CookBook, 임베디드 리눅스 기초와 응용","우종정 , 사공준 ",,2017-01-24,9791156643135
"IT CookBook, 쉽게 배우는 자바 프로그래밍",우종정 ,,2017-08-02,9791156643296
